latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-33.472341163577994;-70.62621653079987;Vicuña Mackenna 1990, Ñuñoa;786.0;824.0;871.0;588.0;646.0;COPEC;
-33.48707075851233;-70.61920523643493;Santa Elena 2206, San Joaquín;784.0;823.0;877.0;588.0;646.0;COPEC;
-33.49774949068171;-70.6165337562561;Vicuña Mackenna 3647, San Joaquín;784.0;822.0;873.0;588.0;640.0;SHELL;
-33.813482384174996;-70.74975371360779;Avenida Vicuña Mackenna 4735, San Joaquín;783.0;821.0;872.0;588.0;625.0;COPEC;
-33.8144226;-70.7431656;Avenida Presidente Prieto 486, Paine;812.0;838.0;864.0;588.0;648.0;Sin Bandera;
-33.46357917795025;-70.6449168920517;Alcalde Gilda Díaz de Girón, Parcela N° 14, Paine;812.0;838.0;869.0;588.0;671.0;SHELL;
-33.43854363231091;-70.56093925151214;SAN FRANCISCO 1401, Santiago;779.0;816.0;857.0;589.0;647.0;COPEC;
-33.44521103907578;-70.60310661792755;Isabel La Catolica 4020, Las Condes;775.0;813.0;872.0;589.0;662.0;PETROBRAS;
-33.44054453618661;-70.6002339720726;Avenida Ricardo Lyon 2633, Ñuñoa;775.0;793.0;834.0;589.0;700.0;COPEC;
-33.4411421311461;-70.59560716152191;Los Leones 2347, Providencia;775.0;800.0;834.0;589.0;651.0;SHELL;
-33.44420837761395;-70.59720039367676;Consejo de Indias 1449, Providencia;775.0;800.0;834.0;589.0;703.0;SHELL;
-33.36653183765565;-70.7370400428772;Avenida Las Torres 902, Quilicura;775.0;800.0;834.0;589.0;651.0;COPEC;
-33.372774768320376;-70.72412252426147;José Francisco Vergara 019, Quilicura;789.0;822.0;851.0;589.0;662.0;SHELL;
-33.365915808372755;-70.72658479213715;Américo Vespucio 1389, Quilicura;788.0;821.0;850.0;589.0;656.0;SHELL;
-33.4023010945511;-70.71487426757812;Manuel Antonio Matta 599, Quilicura;786.0;821.0;848.0;589.0;679.0;COPEC;
-33.56007320602716;-70.54914861917496;JOSE MANUEL BALMACEDA 4885, Renca;793.0;824.0;855.0;589.0;664.0;SHELL;
-33.732887824268424;-70.7333117723465;Balmaceda 901, Buin;785.0;831.0;874.0;589.0;651.0;PETROBRAS;
-33.44295055823143;-70.63667982816696;Avenida Matta 665, Santiago;812.0;844.0;877.0;590.0;665.0;PETROBRAS;
-33.45971476238552;-70.65239489078522;DIAGONAL PARAGUAY 208, Santiago;781.0;807.0;857.0;590.0;641.0;PETROBRAS;
-33.456024722485104;-70.63008427619934;MANUEL ANTONIO MATTA 1345, Santiago;779.0;816.0;856.0;590.0;655.0;PETROBRAS;
-33.460173488935496;-70.65627336502075;Vicuña Mackenna 1131, Santiago;779.0;816.0;856.0;590.0;652.0;SHELL;
-33.4727707376413;-70.65461039543152;VIEL 1086, Santiago;779.0;816.0;856.0;590.0;652.0;SHELL;
-33.39046561701275;-70.6750709276863;PEDRO MONTT 1501, Santiago;779.0;816.0;858.0;590.0;634.0;SHELL;
-33.583949741254266;-70.6191086769104;Independencia 4071, Conchalí;776.0;814.0;854.0;590.0;645.0;SHELL;
-33.43149058093087;-70.57410657405853;Avenida Gabriela 03040, La Pintana;806.0;838.0;876.0;590.0;652.0;COPEC;
-33.44824580983687;-70.5711829662323;Avenida Francisco Bilbao 5739, La Reina;788.0;830.0;871.0;590.0;658.0;COPEC;
-33.4248377280053;-70.56340456008911;Avenida Ossa  591, La Reina;789.0;831.0;872.0;590.0;650.0;PETROBRAS;
-33.43020123877348;-70.554558634758;Manquehue sur  1590, Las Condes;778.0;830.0;871.0;590.0;658.0;SHELL;
-33.5270611;-70.70536249999998;Tomás Moro 1945, Las Condes;788.0;830.0;871.0;590.0;658.0;SHELL;
-33.47900827103899;-70.62159776687622;Don Miguel Angel 9175, Lo Espejo;779.0;806.0;828.0;590.0;650.0;COPEC;
-33.4540062109273;-70.57525992393493;Vicuña Mackenna 3120, Macul;786.0;824.0;873.0;590.0;653.0;COPEC;
-33.43789671573973;-70.57448208332062;Avenida Irarrázaval 5277, Ñuñoa;786.0;813.0;888.0;590.0;667.0;COPEC;
-33.46715030865506;-70.62314808368683;Avenida Tobalaba 5439, Ñuñoa;789.0;831.0;880.0;590.0;650.0;COPEC;
-33.45116186489041;-70.58558911085129;San Eugenio 1602, Ñuñoa;786.0;824.0;863.0;590.0;657.0;COPEC;
-33.45568457748788;-70.58632135391235;Avda. Presidente Jose Batlle y Ordoñez (Diagonal Oriente) 4312, Ñuñoa;786.0;813.0;891.0;590.0;665.0;SHELL;
-33.44571236546068;-70.5723524093628;Irarrázaval 4123, Ñuñoa;786.0;813.0;891.0;590.0;679.0;SHELL;
-33.47642203119784;-70.66320687532425;Avenida Ossa 800, Ñuñoa;789.0;831.0;877.0;590.0;699.0;COPEC;
-33.49776514767982;-70.67232370376587;Avenida Isabel Riquelme 2058, Pedro Aguirre Cerda;797.0;834.0;864.0;590.0;640.0;SHELL;
-33.43147715038212;-70.6103003025055;Avenida José Arrieta 6175, Peñalolén;779.0;809.0;872.0;590.0;698.0;COPEC;
-33.44201501526257;-70.63352823257446;Eleodoro Yañez 1960, Providencia;786.0;809.0;865.0;590.0;649.0;SHELL;
-33.47712005509358;-70.65356433391571;OHiggins 308, Quilicura;781.0;807.0;866.0;590.0;665.0;PETROBRAS;
-33.58184483111431;-70.59882581233978;San Ignacio 2470, San Miguel;799.0;836.0;866.0;590.0;641.0;COPEC;
-33.58304700476479;-70.60743570327759;Gabriela 1482, Puente Alto;804.0;835.0;872.0;590.0;670.0;SHELL;
-33.60505856869576;-70.57708382606506;Avenida Gabriela Mistral 3881, Puente Alto;804.0;835.0;874.0;590.0;673.0;SHELL;
